,settlementDate,settlementPeriod,solar,wind_off,wind_on
2016010148,1/1/2016,48,0,3825.016,5576.201
2016010147,1/1/2016,47,0,3825.016,5576.201
2016010146,1/1/2016,46,0,3846.641,5562.821
2016010145,1/1/2016,45,0,3846.641,5562.821
2016010144,1/1/2016,44,0,3864.86,5541.159
2016010143,1/1/2016,43,0,3864.86,5541.159
2016010142,1/1/2016,42,0,3899.78,5448.622
2016010141,1/1/2016,41,0,3899.78,5448.622
2016010140,1/1/2016,40,0,3913.638,5341.714
2016010139,1/1/2016,39,0,3913.638,5341.714
2016010138,1/1/2016,38,0,3887.913,5225.046
2016010137,1/1/2016,37,0,3887.913,5225.046
2016010136,1/1/2016,36,0,3859.219,4961.299
2016010135,1/1/2016,35,3,3859.219,4961.299
2016010134,1/1/2016,34,5,3758.182,4661.472
2016010133,1/1/2016,33,59,3758.182,4661.472
2016010132,1/1/2016,32,112,3604.482,4336.206
2016010131,1/1/2016,31,231,3604.482,4336.206
2016010130,1/1/2016,30,349,3329.175,3835.489
2016010129,1/1/2016,29,479,3329.175,3835.489
2016010128,1/1/2016,28,608,2954.276,3477.187
2016010127,1/1/2016,27,710,2954.276,3477.187
2016010126,1/1/2016,26,812,2471.562,3107.851
2016010125,1/1/2016,25,823,2471.562,3107.851
2016010124,1/1/2016,24,833,1938.881,2991.199
2016010123,1/1/2016,23,747,1938.881,2991.199
2016010122,1/1/2016,22,661,1473.416,2986.413
2016010121,1/1/2016,21,518,1473.416,2986.413
2016010120,1/1/2016,20,374,1223.331,2874.273
2016010119,1/1/2016,19,255,1223.331,2874.273
2016010118,1/1/2016,18,136,980.348,2798.005
2016010117,1/1/2016,17,68,980.348,2798.005
2016010116,1/1/2016,16,0,762.264,2788.938
2016010115,1/1/2016,15,0,762.264,2788.938
2016010114,1/1/2016,14,0,637.386,2894.297
2016010113,1/1/2016,13,0,637.386,2894.297
2016010112,1/1/2016,12,0,789.5,3162.889
2016010111,1/1/2016,11,0,789.5,3162.889
2016010110,1/1/2016,10,0,1046.25,3411.945
2016010109,1/1/2016,9,0,1046.25,3411.945
2016010108,1/1/2016,8,0,1424.783,3712.846
2016010107,1/1/2016,7,0,1424.783,3712.846
2016010106,1/1/2016,6,0,1895.858,4052.756
2016010105,1/1/2016,5,0,1895.858,4052.756
2016010104,1/1/2016,4,0,2391.312,4410.84
2016010103,1/1/2016,3,0,2391.312,4410.84
2016010102,1/1/2016,2,0,2844.766,4666.853
2016010101,1/1/2016,1,0,2844.766,4666.853
2016010248,1/2/2016,48,0,2768.596,3934.152
2016010247,1/2/2016,47,0,2768.596,3934.152
2016010246,1/2/2016,46,0,2795.837,3935.927
2016010245,1/2/2016,45,0,2795.837,3935.927
2016010244,1/2/2016,44,0,2789.088,3676.418
2016010243,1/2/2016,43,0,2789.088,3676.418
2016010242,1/2/2016,42,0,2840.497,3679.828
2016010241,1/2/2016,41,0,2840.497,3679.828
2016010240,1/2/2016,40,0,2917.487,3680.278
2016010239,1/2/2016,39,0,2917.487,3680.278
2016010238,1/2/2016,38,0,2999.45,3713.412
2016010237,1/2/2016,37,0,2999.45,3713.412
2016010236,1/2/2016,36,0,3115.807,3782.657
2016010235,1/2/2016,35,4,3115.807,3782.657
2016010234,1/2/2016,34,8,3219.292,3853.791
2016010233,1/2/2016,33,60,3219.292,3853.791
2016010232,1/2/2016,32,111,3336.889,3950.273
2016010231,1/2/2016,31,196,3336.889,3950.273
2016010230,1/2/2016,30,280,3457.254,4089.041
2016010229,1/2/2016,29,341,3457.254,4089.041
2016010228,1/2/2016,28,401,3563.052,4233.918
2016010227,1/2/2016,27,428,3563.052,4233.918
2016010226,1/2/2016,26,455,3630.889,4318.976
2016010225,1/2/2016,25,440,3630.889,4318.976
2016010224,1/2/2016,24,424,3724.786,4587.214
2016010223,1/2/2016,23,373,3724.786,4587.214
2016010222,1/2/2016,22,321,3781.375,4789.373
2016010221,1/2/2016,21,245,3781.375,4789.373
2016010220,1/2/2016,20,169,3892.525,5126.141
2016010219,1/2/2016,19,103,3892.525,5126.141
2016010218,1/2/2016,18,36,3902.008,5263.457
2016010217,1/2/2016,17,18,3902.008,5263.457
2016010216,1/2/2016,16,0,3917.854,5414.818
2016010215,1/2/2016,15,0,3917.854,5414.818
2016010214,1/2/2016,14,0,3913.662,5541.73
2016010213,1/2/2016,13,0,3913.662,5541.73
2016010212,1/2/2016,12,0,3873.095,5676.571
2016010211,1/2/2016,11,0,3873.095,5676.571
2016010210,1/2/2016,10,0,3826.212,5748.879
2016010209,1/2/2016,9,0,3826.212,5748.879
2016010208,1/2/2016,8,0,3800.302,5795.706
2016010207,1/2/2016,7,0,3800.302,5795.706
2016010206,1/2/2016,6,0,3785.798,5883.576
2016010205,1/2/2016,5,0,3785.798,5883.576
2016010204,1/2/2016,4,0,3777.39,5947.983
2016010203,1/2/2016,3,0,3777.39,5947.983
2016010202,1/2/2016,2,0,3772.237,5958.3
2016010201,1/2/2016,1,0,3772.237,5958.3
2016010348,1/3/2016,48,0,1723.823,3565.248
2016010347,1/3/2016,47,0,1723.823,3565.248
2016010346,1/3/2016,46,0,2112.715,3814.817
2016010345,1/3/2016,45,0,2112.715,3814.817
2016010344,1/3/2016,44,0,2435.432,4064.119
2016010343,1/3/2016,43,0,2435.432,4064.119
2016010342,1/3/2016,42,0,2867.498,4352.646
2016010341,1/3/2016,41,0,2867.498,4352.646
2016010340,1/3/2016,40,0,3130.676,4598.335
2016010339,1/3/2016,39,0,3130.676,4598.335
2016010338,1/3/2016,38,0,3315.858,4796.836
2016010337,1/3/2016,37,0,3315.858,4796.836
2016010336,1/3/2016,36,0,3524.575,4952.72
2016010335,1/3/2016,35,11,3524.575,4952.72
2016010334,1/3/2016,34,21,3694.933,5109.707
2016010333,1/3/2016,33,94,3694.933,5109.707
2016010332,1/3/2016,32,166,3821.168,5289.801
2016010331,1/3/2016,31,264,3821.168,5289.801
2016010330,1/3/2016,30,361,3865.193,5303.646
2016010329,1/3/2016,29,411,3865.193,5303.646
2016010328,1/3/2016,28,461,3840.003,5286.581
2016010327,1/3/2016,27,465,3840.003,5286.581
2016010326,1/3/2016,26,469,3796.089,5130.96
2016010325,1/3/2016,25,438,3796.089,5130.96
2016010324,1/3/2016,24,407,3659.594,4944.717
2016010323,1/3/2016,23,353,3659.594,4944.717
2016010322,1/3/2016,22,299,3437.486,4739.383
2016010321,1/3/2016,21,230,3437.486,4739.383
2016010320,1/3/2016,20,160,3098.481,4655.317
2016010319,1/3/2016,19,104,3098.481,4655.317
2016010318,1/3/2016,18,47,2649.91,4390.99
2016010317,1/3/2016,17,24,2649.91,4390.99
2016010316,1/3/2016,16,0,2311.502,4149.202
2016010315,1/3/2016,15,0,2311.502,4149.202
2016010314,1/3/2016,14,0,2134.355,3978.685
2016010313,1/3/2016,13,0,2134.355,3978.685
2016010312,1/3/2016,12,0,2287.046,3857.784
2016010311,1/3/2016,11,0,2287.046,3857.784
2016010310,1/3/2016,10,0,2455.252,3819.947
2016010309,1/3/2016,9,0,2455.252,3819.947
2016010308,1/3/2016,8,0,2570.722,3822.715
2016010307,1/3/2016,7,0,2570.722,3822.715
2016010306,1/3/2016,6,0,2563.14,3878.213
2016010305,1/3/2016,5,0,2563.14,3878.213
2016010304,1/3/2016,4,0,2507.05,3819.397
2016010303,1/3/2016,3,0,2507.05,3819.397
2016010302,1/3/2016,2,0,2498.624,3860.374
2016010301,1/3/2016,1,0,2498.624,3860.374
2016010448,1/4/2016,48,0,2527.509,4549.618
2016010447,1/4/2016,47,0,2527.509,4549.618
2016010446,1/4/2016,46,0,2592.429,4588.526
2016010445,1/4/2016,45,0,2592.429,4588.526
2016010444,1/4/2016,44,0,2649.042,4631.07
2016010443,1/4/2016,43,0,2649.042,4631.07
2016010442,1/4/2016,42,0,2626.438,4649.651
2016010441,1/4/2016,41,0,2626.438,4649.651
2016010440,1/4/2016,40,0,2618.972,4670.022
2016010439,1/4/2016,39,0,2618.972,4670.022
2016010438,1/4/2016,38,0,2468.16,4621.374
2016010437,1/4/2016,37,0,2468.16,4621.374
2016010436,1/4/2016,36,0,2373.97,4620.623
2016010435,1/4/2016,35,8,2373.97,4620.623
2016010434,1/4/2016,34,15,2227.373,4611.833
2016010433,1/4/2016,33,105,2227.373,4611.833
2016010432,1/4/2016,32,194,2123.757,4619.805
2016010431,1/4/2016,31,348,2123.757,4619.805
2016010430,1/4/2016,30,501,2045.31,4564.285
2016010429,1/4/2016,29,623,2045.31,4564.285
2016010428,1/4/2016,28,745,2003.272,4504.925
2016010427,1/4/2016,27,815,2003.272,4504.925
2016010426,1/4/2016,26,884,1840.263,4411.708
2016010425,1/4/2016,25,861,1840.263,4411.708
2016010424,1/4/2016,24,838,1730.55,4346.04
2016010423,1/4/2016,23,733,1730.55,4346.04
2016010422,1/4/2016,22,627,1627.003,4267.358
2016010421,1/4/2016,21,486,1627.003,4267.358
2016010420,1/4/2016,20,344,1654.72,4258.838
2016010419,1/4/2016,19,217,1654.72,4258.838
2016010418,1/4/2016,18,89,1582.928,4159.894
2016010417,1/4/2016,17,45,1582.928,4159.894
2016010416,1/4/2016,16,0,1553.119,4054.764
2016010415,1/4/2016,15,0,1553.119,4054.764
2016010414,1/4/2016,14,0,1530.048,3941.682
2016010413,1/4/2016,13,0,1530.048,3941.682
2016010412,1/4/2016,12,0,1555.127,3831.802
2016010411,1/4/2016,11,0,1555.127,3831.802
2016010410,1/4/2016,10,0,1572.347,3751.61
2016010409,1/4/2016,9,0,1572.347,3751.61
2016010408,1/4/2016,8,0,1604.874,3690.85
2016010407,1/4/2016,7,0,1604.874,3690.85
2016010406,1/4/2016,6,0,1555.413,3560.698
2016010405,1/4/2016,5,0,1555.413,3560.698
2016010404,1/4/2016,4,0,1619.414,3534.458
2016010403,1/4/2016,3,0,1619.414,3534.458
2016010402,1/4/2016,2,0,1721.946,3566.899
2016010401,1/4/2016,1,0,1721.946,3566.899
2016010548,1/5/2016,48,0,1156.818,2716.509
2016010547,1/5/2016,47,0,1156.818,2716.509
2016010546,1/5/2016,46,0,1191.477,2823.732
2016010545,1/5/2016,45,0,1191.477,2823.732
2016010544,1/5/2016,44,0,1230.335,2933.816
2016010543,1/5/2016,43,0,1230.335,2933.816
2016010542,1/5/2016,42,0,1278.585,3051.234
2016010541,1/5/2016,41,0,1278.585,3051.234
2016010540,1/5/2016,40,0,1337.303,3170.211
2016010539,1/5/2016,39,0,1337.303,3170.211
2016010538,1/5/2016,38,0,1473.533,3195.139
2016010537,1/5/2016,37,0,1473.533,3195.139
2016010536,1/5/2016,36,0,1549.338,3317.104
2016010535,1/5/2016,35,13,1549.338,3317.104
2016010534,1/5/2016,34,26,1632.203,3437.804
2016010533,1/5/2016,33,135,1632.203,3437.804
2016010532,1/5/2016,32,243,1688.178,3545.686
2016010531,1/5/2016,31,407,1688.178,3545.686
2016010530,1/5/2016,30,571,1866.411,3649.712
2016010529,1/5/2016,29,681,1866.411,3649.712
2016010528,1/5/2016,28,791,2043.138,3771.209
2016010527,1/5/2016,27,837,2043.138,3771.209
2016010526,1/5/2016,26,882,2273.771,3915.259
2016010525,1/5/2016,25,838,2273.771,3915.259
2016010524,1/5/2016,24,794,2420.442,4000.4
2016010523,1/5/2016,23,679,2420.442,4000.4
2016010522,1/5/2016,22,563,2530.453,4067.454
2016010521,1/5/2016,21,425,2530.453,4067.454
2016010520,1/5/2016,20,287,2668.295,4132.564
2016010519,1/5/2016,19,185,2668.295,4132.564
2016010518,1/5/2016,18,82,2677.15,4149.906
2016010517,1/5/2016,17,41,2677.15,4149.906
2016010516,1/5/2016,16,0,2680.61,4193.246
2016010515,1/5/2016,15,0,2680.61,4193.246
2016010514,1/5/2016,14,0,2692.393,4220.613
2016010513,1/5/2016,13,0,2692.393,4220.613
2016010512,1/5/2016,12,0,2677.645,4264.466
2016010511,1/5/2016,11,0,2677.645,4264.466
2016010510,1/5/2016,10,0,2681.589,4328.244
2016010509,1/5/2016,9,0,2681.589,4328.244
2016010508,1/5/2016,8,0,2665.108,4352.788
2016010507,1/5/2016,7,0,2665.108,4352.788
2016010506,1/5/2016,6,0,2598.666,4389.853
2016010505,1/5/2016,5,0,2598.666,4389.853
2016010504,1/5/2016,4,0,2545.212,4417.633
2016010503,1/5/2016,3,0,2545.212,4417.633
2016010502,1/5/2016,2,0,2458.613,4457.333
2016010501,1/5/2016,1,0,2458.613,4457.333
2016010648,1/6/2016,48,0,2936.819,4935.777
2016010647,1/6/2016,47,0,2936.819,4935.777
2016010646,1/6/2016,46,0,2535.175,4836.733
2016010645,1/6/2016,45,0,2535.175,4836.733
2016010644,1/6/2016,44,0,2144.504,4738.223
2016010643,1/6/2016,43,0,2144.504,4738.223
2016010642,1/6/2016,42,0,2016.55,4866.856
2016010641,1/6/2016,41,0,2016.55,4866.856
2016010640,1/6/2016,40,0,1901.186,4763.609
2016010639,1/6/2016,39,0,1901.186,4763.609
2016010638,1/6/2016,38,0,1806.362,4695.861
2016010637,1/6/2016,37,0,1806.362,4695.861
2016010636,1/6/2016,36,0,1633.502,4517.096
2016010635,1/6/2016,35,9,1633.502,4517.096
2016010634,1/6/2016,34,18,1456.263,4318.921
2016010633,1/6/2016,33,120,1456.263,4318.921
2016010632,1/6/2016,32,221,1284.87,4123.824
2016010631,1/6/2016,31,395,1284.87,4123.824
2016010630,1/6/2016,30,569,1170.738,3911.724
2016010629,1/6/2016,29,710,1170.738,3911.724
2016010628,1/6/2016,28,851,1075.941,3679.894
2016010627,1/6/2016,27,933,1075.941,3679.894
2016010626,1/6/2016,26,1014,1015.17,3474.467
2016010625,1/6/2016,25,976,1015.17,3474.467
2016010624,1/6/2016,24,938,970.924,3347.099
2016010623,1/6/2016,23,798,970.924,3347.099
2016010622,1/6/2016,22,657,953.304,3242.74
2016010621,1/6/2016,21,492,953.304,3242.74
2016010620,1/6/2016,20,327,970.151,3274.198
2016010619,1/6/2016,19,210,970.151,3274.198
2016010618,1/6/2016,18,92,971.703,3207.945
2016010617,1/6/2016,17,46,971.703,3207.945
2016010616,1/6/2016,16,0,955.612,3145.145
2016010615,1/6/2016,15,0,955.612,3145.145
2016010614,1/6/2016,14,0,952.984,3061.062
2016010613,1/6/2016,13,0,952.984,3061.062
2016010612,1/6/2016,12,0,898.714,2971.769
2016010611,1/6/2016,11,0,898.714,2971.769
2016010610,1/6/2016,10,0,874.85,2888.479
2016010609,1/6/2016,9,0,874.85,2888.479
2016010608,1/6/2016,8,0,876.11,2853.281
2016010607,1/6/2016,7,0,876.11,2853.281
2016010606,1/6/2016,6,0,849.699,2777.874
2016010605,1/6/2016,5,0,849.699,2777.874
2016010604,1/6/2016,4,0,867.335,2702.617
2016010603,1/6/2016,3,0,867.335,2702.617
2016010602,1/6/2016,2,0,879.192,2676.814
2016010601,1/6/2016,1,0,879.192,2676.814
2016010748,1/7/2016,48,0,3708.519,3823.677
2016010747,1/7/2016,47,0,3708.519,3823.677
2016010746,1/7/2016,46,0,3831.335,4131.963
2016010745,1/7/2016,45,0,3831.335,4131.963
2016010744,1/7/2016,44,0,3873.739,4397.734
2016010743,1/7/2016,43,0,3873.739,4397.734
2016010742,1/7/2016,42,0,3907.752,4581.017
2016010741,1/7/2016,41,0,3907.752,4581.017
2016010740,1/7/2016,40,0,3897.811,4729.989
2016010739,1/7/2016,39,0,3897.811,4729.989
2016010738,1/7/2016,38,0,3912.745,4640.018
2016010737,1/7/2016,37,0,3912.745,4640.018
2016010736,1/7/2016,36,0,3907.077,4771.584
2016010735,1/7/2016,35,27,3907.077,4771.584
2016010734,1/7/2016,34,53,3887.341,4869.347
2016010733,1/7/2016,33,256,3887.341,4869.347
2016010732,1/7/2016,32,459,3853.522,4984.289
2016010731,1/7/2016,31,761,3853.522,4984.289
2016010730,1/7/2016,30,1063,3864.707,4832.756
2016010729,1/7/2016,29,1259,3864.707,4832.756
2016010728,1/7/2016,28,1454,3904.523,4933.109
2016010727,1/7/2016,27,1529,3904.523,4933.109
2016010726,1/7/2016,26,1604,3916.329,4995.36
2016010725,1/7/2016,25,1500,3916.329,4995.36
2016010724,1/7/2016,24,1395,3892.837,5160.327
2016010723,1/7/2016,23,1154,3892.837,5160.327
2016010722,1/7/2016,22,913,3855.538,5201.857
2016010721,1/7/2016,21,665,3855.538,5201.857
2016010720,1/7/2016,20,416,3716.037,5154.41
2016010719,1/7/2016,19,262,3716.037,5154.41
2016010718,1/7/2016,18,108,3851.756,5369.138
2016010717,1/7/2016,17,54,3851.756,5369.138
2016010716,1/7/2016,16,0,3950.581,5577.383
2016010715,1/7/2016,15,0,3950.581,5577.383
2016010714,1/7/2016,14,0,3914.42,5674.987
2016010713,1/7/2016,13,0,3914.42,5674.987
2016010712,1/7/2016,12,0,3871.41,5718.168
2016010711,1/7/2016,11,0,3871.41,5718.168
2016010710,1/7/2016,10,0,3794.517,5647.534
2016010709,1/7/2016,9,0,3794.517,5647.534
2016010708,1/7/2016,8,0,3753.638,5489.202
2016010707,1/7/2016,7,0,3753.638,5489.202
2016010706,1/7/2016,6,0,3659.713,5376.108
2016010705,1/7/2016,5,0,3659.713,5376.108
2016010704,1/7/2016,4,0,3449.355,5305.772
2016010703,1/7/2016,3,0,3449.355,5305.772
2016010702,1/7/2016,2,0,3034.412,4995.369
2016010701,1/7/2016,1,0,3034.412,4995.369
2016010848,1/8/2016,48,0,1127.599,1031.693
2016010847,1/8/2016,47,0,1127.599,1031.693
2016010846,1/8/2016,46,0,1239.28,1031.857
2016010845,1/8/2016,45,0,1239.28,1031.857
2016010844,1/8/2016,44,0,1353.841,1028.646
2016010843,1/8/2016,43,0,1353.841,1028.646
2016010842,1/8/2016,42,0,1459.69,1048.774
2016010841,1/8/2016,41,0,1459.69,1048.774
2016010840,1/8/2016,40,0,1573.275,1070.319
2016010839,1/8/2016,39,0,1573.275,1070.319
2016010838,1/8/2016,38,0,1579.614,1007.447
2016010837,1/8/2016,37,0,1579.614,1007.447
2016010836,1/8/2016,36,0,1734.857,1054.321
2016010835,1/8/2016,35,21,1734.857,1054.321
2016010834,1/8/2016,34,41,1884.353,1138.317
2016010833,1/8/2016,33,190,1884.353,1138.317
2016010832,1/8/2016,32,339,2055.227,1223.916
2016010831,1/8/2016,31,572,2055.227,1223.916
2016010830,1/8/2016,30,805,2274.742,1322.107
2016010829,1/8/2016,29,983,2274.742,1322.107
2016010828,1/8/2016,28,1161,2424.355,1337.06
2016010827,1/8/2016,27,1259,2424.355,1337.06
2016010826,1/8/2016,26,1357,2654.583,1499.93
2016010825,1/8/2016,25,1315,2654.583,1499.93
2016010824,1/8/2016,24,1272,2601.224,1509.052
2016010823,1/8/2016,23,1109,2601.224,1509.052
2016010822,1/8/2016,22,946,2541.163,1537.906
2016010821,1/8/2016,21,734,2541.163,1537.906
2016010820,1/8/2016,20,521,2357.135,1702.724
2016010819,1/8/2016,19,335,2357.135,1702.724
2016010818,1/8/2016,18,148,2268.946,1694.62
2016010817,1/8/2016,17,74,2268.946,1694.62
2016010816,1/8/2016,16,0,2247.412,1615.974
2016010815,1/8/2016,15,0,2247.412,1615.974
2016010814,1/8/2016,14,0,2367.062,1572.014
2016010813,1/8/2016,13,0,2367.062,1572.014
2016010812,1/8/2016,12,0,2621.92,1603.417
2016010811,1/8/2016,11,0,2621.92,1603.417
2016010810,1/8/2016,10,0,2716.305,1589.409
2016010809,1/8/2016,9,0,2716.305,1589.409
2016010808,1/8/2016,8,0,2762.429,1657.997
2016010807,1/8/2016,7,0,2762.429,1657.997
2016010806,1/8/2016,6,0,2925.02,1937.712
2016010805,1/8/2016,5,0,2925.02,1937.712
2016010804,1/8/2016,4,0,3105.141,2277.241
2016010803,1/8/2016,3,0,3105.141,2277.241
2016010802,1/8/2016,2,0,3267.607,2638.037
2016010801,1/8/2016,1,0,3267.607,2638.037
2016010948,1/9/2016,48,0,3271.946,2804.72
2016010947,1/9/2016,47,0,3271.946,2804.72
2016010946,1/9/2016,46,0,3232.845,2817.293
2016010945,1/9/2016,45,0,3232.845,2817.293
2016010944,1/9/2016,44,0,3116.64,2728.808
2016010943,1/9/2016,43,0,3116.64,2728.808
2016010942,1/9/2016,42,0,3136.527,2783.061
2016010941,1/9/2016,41,0,3136.527,2783.061
2016010940,1/9/2016,40,0,3176.562,2825.675
2016010939,1/9/2016,39,0,3176.562,2825.675
2016010938,1/9/2016,38,0,3190.329,2872.236
2016010937,1/9/2016,37,0,3190.329,2872.236
2016010936,1/9/2016,36,0,3219.004,2881.123
2016010935,1/9/2016,35,11,3219.004,2881.123
2016010934,1/9/2016,34,22,3262.177,2938.193
2016010933,1/9/2016,33,91,3262.177,2938.193
2016010932,1/9/2016,32,160,3319.964,2948.522
2016010931,1/9/2016,31,276,3319.964,2948.522
2016010930,1/9/2016,30,391,3359.315,2927.008
2016010929,1/9/2016,29,497,3359.315,2927.008
2016010928,1/9/2016,28,602,3418.038,2925.111
2016010927,1/9/2016,27,676,3418.038,2925.111
2016010926,1/9/2016,26,750,3405.469,2816.071
2016010925,1/9/2016,25,740,3405.469,2816.071
2016010924,1/9/2016,24,730,3353.063,2690.497
2016010923,1/9/2016,23,639,3353.063,2690.497
2016010922,1/9/2016,22,547,3225.194,2527.901
2016010921,1/9/2016,21,422,3225.194,2527.901
2016010920,1/9/2016,20,297,3197.604,2754.067
2016010919,1/9/2016,19,193,3197.604,2754.067
2016010918,1/9/2016,18,88,2925.725,2475.503
2016010917,1/9/2016,17,44,2925.725,2475.503
2016010916,1/9/2016,16,0,2491.83,2153.509
2016010915,1/9/2016,15,0,2491.83,2153.509
2016010914,1/9/2016,14,0,2299.217,1870.299
2016010913,1/9/2016,13,0,2299.217,1870.299
2016010912,1/9/2016,12,0,2104.604,1676.856
2016010911,1/9/2016,11,0,2104.604,1676.856
2016010910,1/9/2016,10,0,1934.887,1538.18
2016010909,1/9/2016,9,0,1934.887,1538.18
2016010908,1/9/2016,8,0,1816.492,1469.128
2016010907,1/9/2016,7,0,1816.492,1469.128
2016010906,1/9/2016,6,0,1713.91,1394.397
2016010905,1/9/2016,5,0,1713.91,1394.397
2016010904,1/9/2016,4,0,1654.601,1334.135
2016010903,1/9/2016,3,0,1654.601,1334.135
2016010902,1/9/2016,2,0,1674.722,1274.407
2016010901,1/9/2016,1,0,1674.722,1274.407
2016011048,1/10/2016,48,0,2935.915,2530.434
2016011047,1/10/2016,47,0,2935.915,2530.434
2016011046,1/10/2016,46,0,3000.392,2637.24
2016011045,1/10/2016,45,0,3000.392,2637.24
2016011044,1/10/2016,44,0,3078.785,2810.018
2016011043,1/10/2016,43,0,3078.785,2810.018
2016011042,1/10/2016,42,0,3126.099,2853.698
2016011041,1/10/2016,41,0,3126.099,2853.698
2016011040,1/10/2016,40,0,3178.23,2909.337
2016011039,1/10/2016,39,0,3178.23,2909.337
2016011038,1/10/2016,38,0,3217.907,2982.381
2016011037,1/10/2016,37,0,3217.907,2982.381
2016011036,1/10/2016,36,0,3245.829,3011.39
2016011035,1/10/2016,35,30,3245.829,3011.39
2016011034,1/10/2016,34,59,3274.928,3031.79
2016011033,1/10/2016,33,240,3274.928,3031.79
2016011032,1/10/2016,32,421,3310.577,3059.913
2016011031,1/10/2016,31,685,3310.577,3059.913
2016011030,1/10/2016,30,949,3392.398,3069.549
2016011029,1/10/2016,29,1134,3392.398,3069.549
2016011028,1/10/2016,28,1318,3461.469,3064.825
2016011027,1/10/2016,27,1405,3461.469,3064.825
2016011026,1/10/2016,26,1491,3520.568,3026.039
2016011025,1/10/2016,25,1428,3520.568,3026.039
2016011024,1/10/2016,24,1365,3534.518,2868.875
2016011023,1/10/2016,23,1178,3534.518,2868.875
2016011022,1/10/2016,22,991,3520.745,2737.895
2016011021,1/10/2016,21,760,3520.745,2737.895
2016011020,1/10/2016,20,528,3533.814,2628.704
2016011019,1/10/2016,19,337,3533.814,2628.704
2016011018,1/10/2016,18,145,3508.211,2520.94
2016011017,1/10/2016,17,73,3508.211,2520.94
2016011016,1/10/2016,16,0,3454.743,2439.707
2016011015,1/10/2016,15,0,3454.743,2439.707
2016011014,1/10/2016,14,0,3384.214,2413.273
2016011013,1/10/2016,13,0,3384.214,2413.273
2016011012,1/10/2016,12,0,3327.011,2337.164
2016011011,1/10/2016,11,0,3327.011,2337.164
2016011010,1/10/2016,10,0,3229.152,2313.365
2016011009,1/10/2016,9,0,3229.152,2313.365
2016011008,1/10/2016,8,0,3110.865,2314.402
2016011007,1/10/2016,7,0,3110.865,2314.402
2016011006,1/10/2016,6,0,2937.922,2226.277
2016011005,1/10/2016,5,0,2937.922,2226.277
2016011004,1/10/2016,4,0,2832.845,2176.348
2016011003,1/10/2016,3,0,2832.845,2176.348
2016011002,1/10/2016,2,0,2783.034,2192.691
2016011001,1/10/2016,1,0,2783.034,2192.691
2016011148,1/11/2016,48,0,1756.018,1573.32
2016011147,1/11/2016,47,0,1756.018,1573.32
2016011146,1/11/2016,46,0,1583.105,1461.365
2016011145,1/11/2016,45,0,1583.105,1461.365
2016011144,1/11/2016,44,0,1631.13,1451.91
2016011143,1/11/2016,43,0,1631.13,1451.91
2016011142,1/11/2016,42,0,1514.156,1336.372
2016011141,1/11/2016,41,0,1514.156,1336.372
2016011140,1/11/2016,40,0,1393.038,1244.105
2016011139,1/11/2016,39,0,1393.038,1244.105
2016011138,1/11/2016,38,0,1299.327,1141.671
2016011137,1/11/2016,37,0,1299.327,1141.671
2016011136,1/11/2016,36,0,1302.416,1107.078
2016011135,1/11/2016,35,30,1302.416,1107.078
2016011134,1/11/2016,34,60,1259.86,1073.813
2016011133,1/11/2016,33,232,1259.86,1073.813
2016011132,1/11/2016,32,404,1212.527,1013.901
2016011131,1/11/2016,31,654,1212.527,1013.901
2016011130,1/11/2016,30,903,1246.915,984.531
2016011129,1/11/2016,29,1081,1246.915,984.531
2016011128,1/11/2016,28,1259,1300.667,974.693
2016011127,1/11/2016,27,1346,1300.667,974.693
2016011126,1/11/2016,26,1432,1312.755,954.813
2016011125,1/11/2016,25,1361,1312.755,954.813
2016011124,1/11/2016,24,1289,1599.244,978.797
2016011123,1/11/2016,23,1091,1599.244,978.797
2016011122,1/11/2016,22,892,1868.662,1027.47
2016011121,1/11/2016,21,668,1868.662,1027.47
2016011120,1/11/2016,20,443,2120.499,1243.676
2016011119,1/11/2016,19,277,2120.499,1243.676
2016011118,1/11/2016,18,111,2274.225,1338.022
2016011117,1/11/2016,17,56,2274.225,1338.022
2016011116,1/11/2016,16,0,2384.334,1441.519
2016011115,1/11/2016,15,0,2384.334,1441.519
2016011114,1/11/2016,14,0,2494.052,1540.101
2016011113,1/11/2016,13,0,2494.052,1540.101
2016011112,1/11/2016,12,0,2589.333,1684.452
2016011111,1/11/2016,11,0,2589.333,1684.452
2016011110,1/11/2016,10,0,2734.432,1884.254
2016011109,1/11/2016,9,0,2734.432,1884.254
2016011108,1/11/2016,8,0,2883.925,2144.704
2016011107,1/11/2016,7,0,2883.925,2144.704
2016011106,1/11/2016,6,0,2876.008,2334.907
2016011105,1/11/2016,5,0,2876.008,2334.907
2016011104,1/11/2016,4,0,2909.121,2541.174
2016011103,1/11/2016,3,0,2909.121,2541.174
2016011102,1/11/2016,2,0,2903.016,2728.455
2016011101,1/11/2016,1,0,2903.016,2728.455
2016011248,1/12/2016,48,0,3778.254,3258.262
2016011247,1/12/2016,47,0,3778.254,3258.262
2016011246,1/12/2016,46,0,3732.972,3267.103
2016011245,1/12/2016,45,0,3732.972,3267.103
2016011244,1/12/2016,44,0,3670.02,3309.24
2016011243,1/12/2016,43,0,3670.02,3309.24
2016011242,1/12/2016,42,0,3651.006,3247.788
2016011241,1/12/2016,41,0,3651.006,3247.788
2016011240,1/12/2016,40,0,3614.037,3185.065
